function,dimension,generator,std_mean,std_median,std_std,std_is_normal,std_normality_p,mod_mean,mod_median,mod_std,mod_is_normal,mod_normality_p,wilcoxon_p,wilcoxon_significant,better_algorithm,cohen_d,sample_size
schwefel,2,pcg,2.5455132521301495e-05,2.545513251561715e-05,6.620896029462585e-14,False,5.972582584945485e-05,14.476003414504065,2.545513251561715e-05,54.164149862459276,False,4.401711634072214e-11,0.8935462030941443,False,standard,0.37161167647860344,30
schwefel,2,mt,2.545513254403886e-05,2.545513251561715e-05,1.1900972176167826e-13,False,1.2628714785023476e-07,7.238014434818317,2.545513257246057e-05,38.97776352783113,False,7.766377818629877e-12,0.06837166307114555,False,standard,0.2581988897471616,30
schwefel,10,pcg,72.38001707252269,0.00012727566596026918,116.70906546714197,False,1.4177062723774725e-07,94.09398401157942,0.00012727566578973892,121.33080456374122,False,9.944282055585063e-07,0.8552717231214046,False,standard,0.1793395152706773,30
schwefel,10,mt,57.90403911315135,0.00012727566556236525,111.19209654886623,False,2.3717561248304264e-08,72.38001707252215,0.00012727566522130473,116.70906546714214,False,1.4177062723774725e-07,0.8552717231214046,False,standard,0.12486551905734748,30
schwefel,30,pcg,246.092007136303,217.14005121755963,192.04554945876018,False,0.001539951772429049,151.998150400388,217.1400512175592,160.056142980692,False,2.31602734857006e-05,0.370740607380867,False,modified,0.5233310464567592,30
schwefel,30,mt,202.66407325818827,217.14005121755906,223.79318835337799,False,5.8198769693262875e-05,221.7469924152366,217.14005121755983,210.56424259260368,False,2.7014459192287177e-05,0.583757072687149,False,standard,0.08635044732877042,30
rosenbrock,2,pcg,4.523958845567131e-09,3.853100264748229e-09,2.7327399292032312e-09,True,0.12720367312431335,5.141557537705064e-09,4.833096268847889e-09,3.159529895909359e-09,False,0.025771381333470345,0.4898460879921913,False,standard,0.20556815629435077,30
rosenbrock,2,mt,4.523958845567131e-09,3.853100264748229e-09,2.7327399292032316e-09,True,0.12720367312431335,4.10817262681843e-09,3.824258616230255e-09,2.8876067476318327e-09,True,0.07524805516004562,0.6408254038542509,False,modified,0.14541544757978234,30
rosenbrock,10,pcg,0.5315438885987364,8.107191350491797e-09,1.3551763096962486,False,5.981475870164843e-10,0.2657719477689307,8.542533145493183e-09,0.9944275437225311,False,4.401711634072214e-11,0.15188691951334476,False,modified,0.21984843307447197,30
rosenbrock,10,mt,0.5315438885987362,8.107191350491797e-09,1.3551763096962486,False,5.981475870164843e-10,0.13288597770239724,7.674989848530143e-09,0.7156128498688518,False,7.766377818629877e-12,0.10943205840885639,False,modified,0.3617002460140348,30
rosenbrock,30,pcg,0.26577493163368004,8.485332913472376e-09,0.9944387040416316,False,4.401711634072214e-11,0.3986623934518887,8.948024526001595e-09,1.1959871536178124,False,1.7832756105118364e-10,0.1641840822994709,False,standard,0.11879361180205833,30
rosenbrock,30,mt,0.26577493163368004,8.485332913472376e-09,0.9944387040416317,False,4.401711634072214e-11,0.39866239342377374,8.997347260297158e-09,1.195987153626661,False,1.7832756105118364e-10,0.20540969260036945,False,standard,0.11879361177640557,30
ackley,2,pcg,0.0760459595375336,6.957750561031872e-06,0.40948331452150744,False,7.766811499498871e-12,0.7064127924820407,6.796066316372418e-06,3.357095107816863,False,1.4544898271906526e-11,0.4161298982799053,False,standard,0.259164883836591,30
ackley,2,mt,0.07604570384920988,6.813116236958905e-06,0.40948336200121904,False,7.76678634600847e-12,0.6261240268905585,7.533498469047828e-06,3.371744330764931,False,7.766428992972418e-12,0.10943205840885639,False,standard,0.2251873258468817,30
ackley,10,pcg,8.719608175855597e-06,9.207155859503047e-06,1.1128187031476462e-06,False,0.0015844145091250539,0.07701810935157746,9.350803626961834e-06,0.288142467874923,False,4.4019898837177607e-11,0.2710056286305189,False,standard,0.37161204288617744,30
ackley,10,mt,0.13189219645642145,9.39923981357893e-06,0.40236475303237623,False,2.3398399884300147e-10,0.038513001293888245,8.387627664863118e-06,0.20735400705965823,False,7.766939001674356e-12,0.024786051362752914,True,modified,0.28684009108083847,30
ackley,30,pcg,9.496191959682913e-06,9.659383830129542e-06,5.072463446238912e-07,False,0.000214507439523004,9.339876479774745e-06,9.354839989317298e-06,5.319326540890411e-07,False,0.00520147942006588,0.24494642950594425,False,modified,0.29570419559972355,30
ackley,30,mt,9.473169327467445e-06,9.744378923759456e-06,5.520284868564595e-07,False,5.568491178564727e-05,9.292671505386115e-06,9.312981520626096e-06,4.0736116103738305e-07,True,0.3099527955055237,0.15794767439365387,False,modified,0.3658163605388838,30
rastrigin,2,pcg,1.782468918629918,1.3959928773817358,1.8353018339057723,False,5.294368747854605e-05,1.482061745117838,0.9949590570933049,1.9431371617605524,False,1.7107495295931585e-06,0.15188691951334476,False,modified,0.15627498094901193,30
rastrigin,2,mt,1.3532925710195574,0.9949590570933191,1.747278980304997,False,8.340394970218767e-07,1.6313839948494429,1.073972002389219,1.2276747231622498,False,0.0034132597502321005,0.2988441474735737,False,standard,0.18107166424636648,30
rastrigin,10,pcg,14.062069519771116,13.929416723671235,5.454042764029426,True,0.35611897706985474,12.80178770095798,10.94454459020933,5.374806133382602,True,0.24955418705940247,0.4521643426269293,False,modified,0.22884536386772789,30
rastrigin,10,mt,13.10027794915049,13.929396526956733,5.302808828078257,True,0.4741328954696655,15.488173291268142,15.421842692041846,5.399004356825859,True,0.9378833770751953,0.09610157273709774,False,standard,0.4387415306340131,30
rastrigin,30,pcg,50.97498629715997,51.24032590322052,11.125976072356847,True,0.9034135937690735,47.09465960697591,48.25544367140263,10.738564217384065,True,0.3980022668838501,0.12935307621955872,False,modified,0.348921832180193,30
rastrigin,30,mt,48.719752980780335,50.2453769444846,10.618505818833667,True,0.6778801679611206,47.95695291026482,46.76299498740512,11.426548828329523,True,0.7196635603904724,0.5561132747679949,False,modified,0.06799490393607836,30
